                           1                            2                            3                            4                            5 
              version_number                 initial_mass                    initial_z                    burn_min1                    burn_min2 
                       10398      1.0000000000000000E+000      2.0000000000000000E-002      5.0000000000000000E+001      1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14 
                            log_star_age                               luminosity                                   radius                                star_mass                 surface_cell_temperature                           conv_mx1_top_r                             conv_mx1_top                           center_entropy                              max_entropy                                    log_L                                 log_Teff                             log_center_T                           log_center_Rho                                    log_R 
                 2.1165599155707016E+000                  8.5257382305261360E-008                  3.7360725908589881E-002                  3.6417259260613399E-005                  5.1062816429486776E+002                  3.4332140845748801E-002                  9.9912624899682678E-001                  9.0056145519211270E+000                  9.1816816030727271E+000                 -7.0692680058178183E+000                  2.7081047638409004E+000                  4.0053531740626891E+000                 -9.5591645264161473E-001                 -1.4275846941380832E+000 
                 2.6776612992197575E+000                  8.2780385131871924E-008                  3.7248934991090582E-002                  3.6417259260613399E-005                  5.0763826388429987E+002                  3.4246259440981128E-002                  9.9912624899682678E-001                  8.9975686966052049E+000                  9.1691886490728773E+000                 -7.0820725573957839E+000                  2.7055543488466838E+000                  4.0043121483181920E+000                 -9.5431406536734764E-001                 -1.4288861399386330E+000 
                 2.9882262377381426E+000                  7.9460262790268911E-008                  3.7094318377744753E-002                  3.6417259260613399E-005                  5.0351593707597294E+002                  3.4112784488015448E-002                  9.9911358470293310E-001                  8.9863846819981177E+000                  9.1513369451379862E+000                 -7.0998500029834624E+000                  2.7020132198987135E+000                  4.0028616107188038E+000                 -9.5209442228501262E-001                 -1.4306926048365316E+000 
                 3.2276847239485598E+000                  7.5130094299306684E-008                  3.6883518231102322E-002                  3.6417259260613399E-005                  4.9792821100016886E+002                  3.3931266908179422E-002                  9.9909525091540696E-001                  8.9710417832292073E+000                  9.1258245540679965E+000                 -7.1241860660565175E+000                  2.6971667313744550E+000                  4.0008651713651009E+000                 -9.4906391740037888E-001                 -1.4331676593245415E+000 
                 3.4346003191794257E+000                  6.9676183157718485E-008                  3.6601251526565140E-002                  3.6417259260613399E-005                  4.9051527899842478E+002                  3.3698452180411023E-002                  9.9907691712788094E-001                  8.9503488930837953E+000                  9.0895464777359187E+000                 -7.1569156478818892E+000                  2.6906525383975910E+000                  3.9981606681710788E+000                 -9.4500291092594535E-001                 -1.4365040642835001E+000 
                 3.6162343677726030E+000                  6.3401541778595190E-008                  3.6248528051617587E-002                  3.6417259260613399E-005                  4.8140343673936866E+002                  3.3413807104220580E-002                  9.9905557684955693E-001                  8.9242631404966364E+000                  9.0411380993490607E+000                 -7.1979001809543117E+000                  2.6825091850795970E+000                  3.9947317116894494E+000                 -9.3992576597613242E-001                 -1.4407096241837236E+000 
                 3.7610228228181746E+000                  5.7443284228464689E-008                  3.5878590575801478E-002                  3.6417259260613399E-005                  4.7208646365069683E+002                  3.3121095613605003E-002                  9.9903329505150729E-001                  8.8966831387187355E+000                  8.9873586661353766E+000                 -7.2407607379592633E+000                  2.6740215466114319E+000                  3.9910825835010000E+000                 -9.3460887433801032E-001                 -1.4451646257498694E+000 
                 3.8779979676289691E+000                  5.2157454262478710E-008                  3.5513500834063454E-002                  3.6417259260613399E-005                  4.6319277111934719E+002                  3.2837220849018155E-002                  9.9901101325345765E-001                  8.8692016644543017E+000                  8.9324276401280631E+000                 -7.2826836141077864E+000                  2.6657617716494455E+000                  3.9874225291231431E+000                 -9.2936394867242655E-001                 -1.4496065139001573E+000 
                 3.9760574878751545E+000                  4.7548260143149879E-008                  3.5159747962306261E-002                  3.6417259260613399E-005                  4.5487304323487649E+002                  3.2564849538753819E-002                  9.9898853275352406E-001                  8.8421576004567068E+000                  8.8783860728481461E+000                 -7.3228653698738553E+000                  2.6578901991407697E+000                  3.9837979639918615E+000                 -9.2425538575878030E-001                 -1.4539542467658406E+000 
