                           1                            2                            3                            4                            5 
              version_number                 initial_mass                    initial_z                    burn_min1                    burn_min2 
                       10398      1.0000000000000000E+000      2.0000000000000000E-002      5.0000000000000000E+001      1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14 
                            log_star_age                               luminosity                                   radius                                star_mass                 surface_cell_temperature                           conv_mx1_top_r                             conv_mx1_top                           center_entropy                              max_entropy                                    log_L                                 log_Teff                             log_center_T                           log_center_Rho                                    log_R 
                 6.0000781659720159E+000                  1.6100756781610746E-007                  5.4446078518210504E-002                  4.0058985186674701E-005                  4.9585842077761424E+002                  4.7728403235774715E-002                  9.9821674404456029E-001                  8.0707690105187933E+000                  9.2780545891711377E+000                 -6.7931537104058322E+000                  2.6953576880576793E+000                  4.0345966570072624E+000                 -4.3671640422519220E-001                 -1.2640333948656484E+000 
                 6.0001198487386400E+000                  1.6217388694503685E-007                  5.4542015641103059E-002                  4.0058985186674701E-005                  4.9631689910625528E+002                  4.7666664273875003E-002                  9.9815396329696471E-001                  8.0707595515979573E+000                  9.2808063081979562E+000                 -6.7900190740993684E+000                  2.6957590579111961E+000                  4.0345948460263044E+000                 -4.3671543256680834E-001                 -1.2632688164194501E+000 
                 6.0002298720241445E+000                  1.6386701126552244E-007                  5.4681558470358299E-002                  4.0058985186674701E-005                  4.9697193542846117E+002                  4.7539476114818652E-002                  9.9802071556352179E-001                  8.0707367997618817E+000                  9.2847400792493318E+000                 -6.7855084672186861E+000                  2.6963318595067456E+000                  4.0345906177909887E+000                 -4.3671287335075604E-001                 -1.2621591161702075E+000 
                 6.0003882566038893E+000                  1.6485227328316903E-007                  5.4754955443680614E-002                  4.0058985186674701E-005                  4.9738357914806284E+002                  4.7451022811984316E-002                  9.9792467854217803E-001                  8.0707064233575192E+000                  9.2870794792601856E+000                 -6.7829050596368186E+000                  2.6966914383696419E+000                  4.0345851348165045E+000                 -4.3670917449748392E-001                 -1.2615765701050665E+000 
                 6.0006162289704505E+000                  1.6529118584579072E-007                  5.4785155795138589E-002                  4.0058985186674701E-005                  4.9757711349162167E+002                  4.7385892076986728E-002                  9.9785265077617025E-001                  8.0706643208749078E+000                  9.2881399229227473E+000                 -6.7817503045688809E+000                  2.6968603915788139E+000                  4.0345776498412400E+000                 -4.3670384843165688E-001                 -1.2613370989894410E+000 
                 6.0009442990871769E+000                  1.6544130606440733E-007                  5.4793985383208309E-002                  4.0058985186674701E-005                  4.9764995110588450E+002                  4.7385101379259366E-002                  9.9785265077617025E-001                  8.0706045958336521E+000                  9.2885170394990695E+000                 -6.7813560500662877E+000                  2.6969239609405609E+000                  4.0345670926640880E+000                 -4.3669618691949696E-001                 -1.2612671104616386E+000 
                 6.0014162850972825E+000                  1.6547253992684109E-007                  5.4794475167832750E-002                  4.0058985186674701E-005                  4.9767121317495514E+002                  4.7323300303348019E-002                  9.9778411554951163E-001                  8.0705189602108121E+000                  9.2886093618069179E+000                 -6.7812740668292122E+000                  2.6969425157538653E+000                  4.0345519778521259E+000                 -4.3668516139215796E-001                 -1.2612632284697092E+000 
                 6.0020950450682236E+000                  1.6546529871289385E-007                  5.4792104716968416E-002                  4.0058985186674701E-005                  4.9767653351133663E+002                  4.7321253083136242E-002                  9.9778411554951163E-001                  8.0703957851001658E+000                  9.2886113035364613E+000                 -6.7812930723274834E+000                  2.6969471585380642E+000                  4.0345302415757773E+000                 -4.3666929249872205E-001                 -1.2612820167872429E+000 
                 6.0030705995089830E+000                  1.6544474713811123E-007                  5.4788182458539746E-002                  4.0058985186674701E-005                  4.9767889268069194E+002                  4.7318297040556505E-002                  9.9778411554951163E-001                  8.0702185342121364E+000                  9.2885877964676116E+000                 -6.7813470171118491E+000                  2.6969492172473273E+000                  4.0344989603035959E+000                 -4.3664645554881526E-001                 -1.2613131065979526E+000 
