                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49 
                            model_number                                num_zones                             initial_mass                                initial_z                                 star_age                                time_step                                 M_center                                 R_center                                 L_center                                     Teff                            photosphere_L                            photosphere_r                               center_eta                                center_h1                               center_he3                               center_he4                               center_c12                               center_n14                               center_o16                              center_ne20                                star_mass                                star_mdot                             star_mass_h1                            star_mass_he3                            star_mass_he4                            star_mass_c12                            star_mass_n14                            star_mass_o16                           star_mass_ne20                             he_core_mass                              c_core_mass                              o_core_mass                             si_core_mass                             fe_core_mass                   neutron_rich_core_mass                               tau10_mass                             tau10_radius                              tau100_mass                            tau100_radius                             dynamic_time                             kh_timescale                            nuc_timescale                           power_nuc_burn                             power_h_burn                            power_he_burn                                power_neu                                burn_min1                                burn_min2                             time_seconds 
                                    1000                                      738                  1.0000000000000000E+000                  2.0000000000000000E-002                  1.5406489309383657E+007                  5.2095121139757731E+005                  1.7929199999999981E+028                  8.5696335669566274E+008                  8.9646000000000000E+020                  9.5553002793594388E+001                  9.1144375840475454E-011                  3.4884708239104535E-002                 -2.0010128833324373E+001                  7.3000000000000020E-001                  2.6605031474230903E-005                  2.4997339496852569E-001                  3.4416073257059867E-003                  1.0081585205319681E-003                  9.3604492797742141E-003                  2.0994604783340924E-003                  1.0014746296668701E-005                  0.0000000000000000E+000                  7.3107647965683677E-007                  2.6644264042931608E-011                  2.5034201315268192E-007                  3.4466824219702937E-009                  1.0096451809952827E-009                  9.3742524759776968E-009                  2.1025564050399283E-009                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0014685953534382E-005                  3.4506866135091796E-002                  1.0014508800533485E-005                  3.4018156702629983E-002                  2.0614188273140582E+004                  7.4044784294091094E+008                  1.0987783068696319E+015                  2.0550083313898795E-026                  2.0550083313898795E-026                  0.0000000000000000E+000                  8.2226290734707834E-028                  5.0000000000000000E+001                  1.0000000000000000E+003                  4.8620030035242206E+014 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35 
                                    zone                                     mass                                     logR                                     logT                                   logRho                                     logP                        x_mass_fraction_H                       y_mass_fraction_He                   z_mass_fraction_metals                                radius_cm                               mass_grams                              temperature                                   energy                                  density                                  entropy                                     logS                                 pressure                                       mu                                    grada                                       cv                                       cp                                   gamma1                                  opacity                               luminosity                                     logL                                    gradT                             d_gradT_dlnR                             actual_gradT                                    gradr                                    gradL                               sch_stable                            ledoux_stable                                      tau                               extra_heat                     log_irradiation_heat 
                                       1                  1.0014746296668701E-005                 -1.4573649049243904E+000                  1.9802443402125371E+000                 -4.4734272980765235E+000                  5.0588269651884339E+000                  7.3000000000000009E-001                  2.4999999999999997E-001                  1.9999999999999907E-002                  2.4279059240251975E+009                  1.9921333333333379E+028                  9.5553002951781437E+001                  5.1091131657962027E+009                  3.3618064177140540E-005                  5.8670742415907471E+000                  8.6882562835107340E+000                  1.1450566286379704E+005                  6.0287236325717464E-001                  3.9999999999779667E-001                  5.3468891693866469E+007                  8.9114819489777461E+007                  1.6666666666636067E+000                  1.3132303059611148E-003                  9.1144375840475454E-011                 -1.0040270124779768E+001                  1.2500000082786167E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.2500000082786167E-001                  3.9999999999779667E-001                  1.0000000000000000E+000                  1.0000000000000000E+000                  6.6666666666666663E-001                  0.0000000000000000E+000                 -9.8999999999999986E+001 
                                       2                  1.0014746296668201E-005                 -1.4573649049959374E+000                  1.9802443434479060E+000                 -4.4734272754289410E+000                  5.0588269910713857E+000                  7.3000000000000009E-001                  2.4999999999999997E-001                  1.9999999999999907E-002                  2.4279059236252174E+009                  1.9921333333332385E+028                  9.5553003663623784E+001                  5.1091132038576336E+009                  3.3618065930254903E-005                  5.8670742240245621E+000                  8.6882562822104443E+000                  1.1450566968807110E+005                  6.0287236325717464E-001                  3.9999999999779673E-001                  5.3468891693866462E+007                  8.9114819489777446E+007                  1.6666666666636067E+000                  1.3132303912154659E-003                  9.1144375840474006E-011                 -1.0040270124779774E+001                  1.2500000345893336E-001                  0.0000000000000000E+000                  1.2499999369366335E-001                  1.2500000345893336E-001                  3.9999999999779673E-001                  1.0000000000000000E+000                  1.0000000000000000E+000                  6.6666668432524467E-001                  0.0000000000000000E+000                 -9.8999999999999986E+001 
                                       3                  1.0014746296666447E-005                 -1.4573649052463509E+000                  1.9802443522553004E+000                 -4.4734272137771960E+000                  5.0588270615305237E+000                  7.3000000000000009E-001                  2.4999999999999997E-001                  1.9999999999999907E-002                  2.4279059222252908E+009                  1.9921333333328897E+028                  9.5553005601417240E+001                  5.1091133074692974E+009                  3.3618070702621758E-005                  5.8670741762055112E+000                  8.6882562786707673E+000                  1.1450568826526204E+005                  6.0287236325717464E-001                  3.9999999999779673E-001                  5.3468891693866469E+007                  8.9114819489777461E+007                  1.6666666666636072E+000                  1.3132306232967743E-003                  9.1144375840468927E-011                 -1.0040270124779799E+001                  1.2500002187642018E-001                  0.0000000000000000E+000                  1.2500002654955178E-001                  1.2500002187642018E-001                  3.9999999999779678E-001                  1.0000000000000000E+000                  1.0000000000000000E+000                  6.6666674613027199E-001                  0.0000000000000000E+000                 -9.8999999999999986E+001 
                                       4                  1.0014746296662067E-005                 -1.4573649058723923E+000                  1.9802443691061842E+000                 -4.4734270958210871E+000                  5.0588271963375178E+000                  7.3000000000000009E-001                  2.4999999999999997E-001                  1.9999999999999907E-002                  2.4279059187254314E+009                  1.9921333333320181E+028                  9.5553009308930669E+001                  5.1091135057059269E+009                  3.3618079833424745E-005                  5.8670740847150205E+000                  8.6882562718984282E+000                  1.1450572380835706E+005                  6.0287236325717464E-001                  3.9999999999779684E-001                  5.3468891693866462E+007                  8.9114819489777461E+007                  1.6666666666636070E+000                  1.3132310673299057E-003                  9.1144375840456222E-011                 -1.0040270124779859E+001                  1.2500006792013912E-001                  0.0000000000000000E+000                  1.2500006634462527E-001                  1.2500006792013912E-001                  3.9999999999779678E-001                  1.0000000000000000E+000                  1.0000000000000000E+000                  6.6666690064286782E-001                  0.0000000000000000E+000                 -9.8999999999999986E+001 
                                       5                  1.0014746296654713E-005                 -1.4573649069232453E+000                  1.9802443902259641E+000                 -4.4734269479828255E+000                  5.0588273652955591E+000                  7.3000000000000009E-001                  2.4999999999999997E-001                  1.9999999999999907E-002                  2.4279059128506794E+009                  1.9921333333305553E+028                  9.5553013955682246E+001                  5.1091137541625929E+009                  3.3618091277363186E-005                  5.8670739700470280E+000                  8.6882562634104357E+000                  1.1450576835570304E+005                  6.0287236325717464E-001                  3.9999999999779667E-001                  5.3468891693866462E+007                  8.9114819489777446E+007                  1.6666666666636067E+000                  1.3132316238514952E-003                  9.1144375840434844E-011                 -1.0040270124779962E+001                  1.2500014520781527E-001                  0.0000000000000000E+000                  1.2500014626378383E-001                  1.2500014520781527E-001                  3.9999999999779678E-001                  1.0000000000000000E+000                  1.0000000000000000E+000                  6.6666716000338533E-001                  0.0000000000000000E+000                 -9.8999999999999986E+001 
                                       6                  1.0014746296647357E-005                 -1.4573649079740951E+000                  1.9802444253741156E+000                 -4.4734267019462948E+000                  5.0588276464802417E+000                  7.3000000000000043E-001                  2.4999999999999969E-001                  1.9999999999999907E-002                  2.4279059069759445E+009                  1.9921333333290920E+028                  9.5553021688941797E+001                  5.1091141676514101E+009                  3.3618110322691286E-005                  5.8670737792133965E+000                  8.6882562492844855E+000                  1.1450584249267667E+005                  6.0287236325717442E-001                  3.9999999999779684E-001                  5.3468891693866484E+007                  8.9114819489777505E+007                  1.6666666666636070E+000                  1.3132325500308441E-003                  9.1144375840413480E-011                 -1.0040270124780063E+001                  1.2500022249549936E-001                  0.0000000000000000E+000                  1.2500022133546612E-001                  1.2500022249549936E-001                  3.9999999999779678E-001                  1.0000000000000000E+000                  1.0000000000000000E+000                  6.6666741936401397E-001                  0.0000000000000000E+000                 -9.8999999999999986E+001 
                                       7                  1.0014746296630232E-005                 -1.4573649104209614E+000                  1.9802444745506629E+000                 -4.4734263577117286E+000                  5.0588280398913543E+000                  7.3000000000000043E-001                  2.4999999999999969E-001                  1.9999999999999907E-002                  2.4279058932968378E+009                  1.9921333333256857E+028                  9.5553032508715361E+001                  5.1091147461727114E+009                  3.3618136969403812E-005                  5.8670735122144260E+000                  8.6882562295205989E+000                  1.1450594621927968E+005                  6.0287236325717442E-001                  3.9999999999779684E-001                  5.3468891693866484E+007                  8.9114819489777490E+007                  1.6666666666636067E+000                  1.3132338458682036E-003                  9.1144375840363746E-011                 -1.0040270124780299E+001                  1.2500040245661242E-001                  0.0000000000000000E+000                  1.2500040208700836E-001                  1.2500040245661242E-001                  3.9999999999779684E-001                  1.0000000000000000E+000                  1.0000000000000000E+000                  6.6666802327463193E-001                  0.0000000000000000E+000                 -9.8999999999999986E+001 
                                       8                  1.0014746296613106E-005                 -1.4573649128678272E+000                  1.9802445546907836E+000                 -4.4734257967340323E+000                  5.0588286810091718E+000                  7.3000000000000043E-001                  2.4999999999999967E-001                  1.9999999999999907E-002                  2.4279058796177316E+009                  1.9921333333222790E+028                  9.5553050141065299E+001                  5.1091156889549208E+009                  3.3618180393941710E-005                  5.8670730771030009E+000                  8.6882561973126329E+000                  1.1450611525632608E+005                  6.0287236325717442E-001                  3.9999999999779673E-001                  5.3468891693866484E+007                  8.9114819489777490E+007                  1.6666666666636067E+000                  1.3132359576175793E-003                  9.1144375840314011E-011                 -1.0040270124780537E+001                  1.2500058241776757E-001                  0.0000000000000000E+000                  1.2500058290126001E-001                  1.2500058241776757E-001                  3.9999999999779678E-001                  1.0000000000000000E+000                  1.0000000000000000E+000                  6.6666862718585262E-001                  0.0000000000000000E+000                 -9.8999999999999986E+001 
                                       9                  1.0014746296574417E-005                 -1.4573649183959712E+000                  1.9802446657945956E+000                 -4.4734250190143818E+000                  5.0588295698326347E+000                  7.3000000000000043E-001                  2.4999999999999967E-001                  1.9999999999999907E-002                  2.4279058487128658E+009                  1.9921333333145829E+028                  9.5553074586021197E+001                  5.1091169959996204E+009                  3.3618240596279101E-005                  5.8670724738804498E+000                  8.6882561526606867E+000                  1.1450634960382586E+005                  6.0287236325717442E-001                  3.9999999999779673E-001                  5.3468891693866491E+007                  8.9114819489777505E+007                  1.6666666666636067E+000                  1.3132388852801883E-003                  9.1144375840201644E-011                 -1.0040270124781072E+001                  1.2500098900062750E-001                  0.0000000000000000E+000                  1.2500098890435099E-001                  1.2500098900062750E-001                  3.9999999999779673E-001                  1.0000000000000000E+000                  1.0000000000000000E+000                  6.6666999159286278E-001                  0.0000000000000000E+000                 -9.8999999999999986E+001 
